Ticker,Price,Quickratio,Current Ratio,Debt/Eq,Sales Q/Q,Gross Margin,Profit Margin,ROE
ATVI,82.57,0.70,0.80,1.64,0.30,93.40,12.50,10.60
AMD,82.99,0.70,0.80,1.64,0.30,93.40,12.50,10.60
A,97.47,0.70,0.80,1.64,0.30,93.40,12.50,10.60
ALB,91.44,0.70,0.80,1.64,0.30,93.40,12.50,10.60
AMCR,10.94,0.70,0.80,1.64,0.30,93.40,12.50,10.60
AOS,49.49,0.70,0.80,1.64,0.30,93.40,12.50,10.60
AMAT,63.3,0.70,0.80,1.64,0.30,93.40,12.50,10.60
APTV,85.47,0.70,0.80,1.64,0.30,93.40,12.50,10.60
ADM,44.28,0.70,0.80,1.64,0.30,93.40,12.50,10.60
BWA,41.39,0.70,0.80,1.64,0.30,93.40,12.50,10.60
CHRW,96.46,0.70,0.80,1.64,0.30,93.40,12.50,10.60
CTSH,67.17,0.70,0.80,1.64,0.30,93.40,12.50,10.60
CSX,74.51,0.70,0.80,1.64,0.30,93.40,12.50,10.60
DVA,87.57,0.70,0.80,1.64,0.30,93.40,12.50,10.60
DRE,37.93,0.70,0.80,1.64,0.30,93.40,12.50,10.60
ETFC,53.96,0.70,0.80,1.64,0.30,93.40,12.50,10.60
EBAY,58.9,0.70,0.80,1.64,0.30,93.40,12.50,10.60
EW,78.41,0.70,0.80,1.64,0.30,93.40,12.50,10.60
FAST,47.65,0.70,0.80,1.64,0.30,93.40,12.50,10.60
FTV,71.66,0.70,0.80,1.64,0.30,93.40,12.50,10.60
GIS,64.06,0.70,0.80,1.64,0.30,93.40,12.50,10.60
HOLX,65.54,0.70,0.80,1.64,0.30,93.40,12.50,10.60
INFO,81.96,0.70,0.80,1.64,0.30,93.40,12.50,10.60
IR,35.07,0.70,0.80,1.64,0.30,93.40,12.50,10.60
JCI,40.89,0.70,0.80,1.64,0.30,93.40,12.50,10.60
K,69.42,0.70,0.80,1.64,0.30,93.40,12.50,10.60
KR,35.98,0.70,0.80,1.64,0.30,93.40,12.50,10.60
LKQ,31.49,0.70,0.80,1.64,0.30,93.40,12.50,10.60
MXIM,68.63,0.70,0.80,1.64,0.30,93.40,12.50,10.60
MDLZ,57.86,0.70,0.80,1.64,0.30,93.40,12.50,10.60
MS,52.07,0.70,0.80,1.64,0.30,93.40,12.50,10.60
NEM,65.35,0.70,0.80,1.64,0.30,93.40,12.50,10.60
ORCL,55.62,0.70,0.80,1.64,0.30,93.40,12.50,10.60
PCAR,87.05,0.70,0.80,1.64,0.30,93.40,12.50,10.60
PNR,46.54,0.70,0.80,1.64,0.30,93.40,12.50,10.60
PFE,38.67,0.70,0.80,1.64,0.30,93.40,12.50,10.60
VZ,59.41,0.70,0.80,1.64,0.30,93.40,12.50,10.60
WY,29.0,0.70,0.80,1.64,0.30,93.40,12.50,10.60
WMB,21.6,0.70,0.80,1.64,0.30,93.40,12.50,10.60
XEL,70.2,0.70,0.80,1.64,0.30,93.40,12.50,10.60
